Klub,Król strzelców,Gole,Pozycja
Liverpool FC,Mohamed Salah,29,Offence
Newcastle United FC,Alexander Isak,23,N/A
Manchester City FC,Erling Haaland,22,Offence
Nottingham Forest FC,Chris Wood,20,Offence
Brentford FC,Bryan Mbeumo,20,N/A
Aston Villa FC,Ollie Watkins,16,Offence
Chelsea FC,Cole Palmer,15,Attacking Midfield
Wolverhampton Wanderers FC,Matheus Cunha,15,N/A
Crystal Palace FC,Jean-Philippe Mateta,14,Offence
West Ham United FC,Jarrod Bowen,13,Right Winger
AFC Bournemouth,Justin Kluivert,12,Offence
Fulham FC,Raúl Jiménez,12,Centre-Forward
Tottenham Hotspur FC,Brennan Johnson,11,N/A
Brighton & Hove Albion FC,Kaoru Mitoma,10,Left Winger
Everton FC,Iliman Ndiaye,9,Offence
Arsenal FC,Kai Havertz,9,Offence
Manchester United FC,Amad Diallo,8,Midfield
Sunderland AFC,Brak danych,0,-
Burnley FC,Brak danych,0,-
Leeds United FC,Brak danych,0,-
